split,prediction_source,score,window_sec,n_training_seeds,n_frames_mean,n_frames_std,n_near_boundary_mean,n_near_boundary_std,near_boundary_prevalence_mean,near_boundary_prevalence_std,auroc_mean,auroc_std,aupr_mean,aupr_std
test,deterministic_raw,normalised_entropy,5,3,28060.0,0.0,605.0,0.0,0.021560940841054883,0.0,0.5914056610541767,0.01606540334920158,0.032865506379734136,0.008712280664849541
test,deterministic_raw,normalised_entropy,10,3,28060.0,0.0,1155.0,0.0,0.041161796151104775,0.0,0.5901262337984137,0.022192145600619547,0.060664926444263634,0.013499693918324531
test,deterministic_raw,normalised_entropy,20,3,28060.0,0.0,2236.0,0.0,0.0796863863150392,0.0,0.5787511769501211,0.024579119563551157,0.10664047034992537,0.016301033506872044
test,deterministic_raw,one_minus_confidence,5,3,28060.0,0.0,605.0,0.0,0.021560940841054883,0.0,0.5856774496508937,0.015453888427601072,0.02871943581366399,0.0030417015624475525
test,deterministic_raw,one_minus_confidence,10,3,28060.0,0.0,1155.0,0.0,0.041161796151104775,0.0,0.5864318765749726,0.021757557179877894,0.056386921238767006,0.007045775983516981
test,deterministic_raw,one_minus_confidence,20,3,28060.0,0.0,2236.0,0.0,0.0796863863150392,0.0,0.57571452960511,0.027196044800029844,0.1037885028540635,0.011585355016193984
test,mc_dropout_t30,mc_entropy,5,3,28060.0,0.0,605.0,0.0,0.021560940841054883,0.0,0.5901810475744682,0.0172450516783833,0.03271627383563044,0.00783296711444415
test,mc_dropout_t30,mc_entropy,10,3,28060.0,0.0,1155.0,0.0,0.041161796151104775,0.0,0.5894319251130252,0.02134587073326603,0.06011540405176843,0.011568615833959364
test,mc_dropout_t30,mc_entropy,20,3,28060.0,0.0,2236.0,0.0,0.0796863863150392,0.0,0.5786144664695985,0.02310186441380906,0.10603392573159592,0.01407218929123501
test,mc_dropout_t30,mc_mutual_info,5,3,28060.0,0.0,605.0,0.0,0.021560940841054883,0.0,0.5901913323730844,0.01650821678830138,0.029935522444776475,0.002528119661425156
test,mc_dropout_t30,mc_mutual_info,10,3,28060.0,0.0,1155.0,0.0,0.041161796151104775,0.0,0.5894331801300766,0.015113502794264417,0.05637065308171995,0.0034793909097050866
test,mc_dropout_t30,mc_mutual_info,20,3,28060.0,0.0,2236.0,0.0,0.0796863863150392,0.0,0.5770941266609845,0.015730786914205295,0.10077880044378325,0.001426914150055538
val,deterministic_raw,normalised_entropy,5,3,14972.0,0.0,242.0,0.0,0.01616350520972482,0.0,0.6367451594261445,0.0039933770799849035,0.026930415876138685,0.0021350010347399354
val,deterministic_raw,normalised_entropy,10,3,14972.0,0.0,462.0,0.0,0.030857600854929206,4.2491873609703695e-18,0.6296083807455276,0.005554378427273696,0.04762269252403809,0.0027229142207565987
val,deterministic_raw,normalised_entropy,20,3,14972.0,0.0,902.0,0.0,0.06024579214533796,0.0,0.6289777750462133,0.005215741564605845,0.08811137630121484,0.002739914508238132
val,deterministic_raw,one_minus_confidence,5,3,14972.0,0.0,242.0,0.0,0.01616350520972482,0.0,0.6308751278756833,0.003910704973092773,0.02637378140453799,0.0024216283394722553
val,deterministic_raw,one_minus_confidence,10,3,14972.0,0.0,462.0,0.0,0.030857600854929206,4.2491873609703695e-18,0.6233979799968773,0.004672223016481153,0.04655168658238707,0.004541487458710254
val,deterministic_raw,one_minus_confidence,20,3,14972.0,0.0,902.0,0.0,0.06024579214533796,0.0,0.6233328789480956,0.0022774493649927083,0.0862395369695617,0.00545439823221174
val,mc_dropout_t30,mc_entropy,5,3,14972.0,0.0,242.0,0.0,0.01616350520972482,0.0,0.6445089667270745,0.010452977758428765,0.028055465913744516,0.0042401181781017
val,mc_dropout_t30,mc_entropy,10,3,14972.0,0.0,462.0,0.0,0.030857600854929206,4.2491873609703695e-18,0.6369522984099137,0.008749340684632973,0.04919968797256844,0.005444434876751582
val,mc_dropout_t30,mc_entropy,20,3,14972.0,0.0,902.0,0.0,0.06024579214533796,0.0,0.6359938770932583,0.0034295258608471025,0.09023789702987041,0.005375102924096654
val,mc_dropout_t30,mc_mutual_info,5,3,14972.0,0.0,242.0,0.0,0.01616350520972482,0.0,0.631213168530332,0.005102184607692196,0.022367371300564803,0.0001317995269793396
val,mc_dropout_t30,mc_mutual_info,10,3,14972.0,0.0,462.0,0.0,0.030857600854929206,4.2491873609703695e-18,0.6273826678719856,0.003414735507593776,0.041683566676972615,0.0002960803511146104
val,mc_dropout_t30,mc_mutual_info,20,3,14972.0,0.0,902.0,0.0,0.06024579214533796,0.0,0.6307221547210626,0.012162643934425661,0.08155898606529971,0.004010361205841856
