training_seed,split,prediction_source,score,window_sec,n_frames,n_near_boundary,near_boundary_prevalence,auroc,aupr
0,test,deterministic_raw,one_minus_confidence,5,28060,605,0.021560940841054883,0.5883878803933108,0.032147995533102484
0,test,deterministic_raw,one_minus_confidence,10,28060,1155,0.041161796151104775,0.5926820277535758,0.06393184552619607
0,test,deterministic_raw,one_minus_confidence,20,28060,2236,0.0796863863150392,0.5855300875279587,0.11345239361565447
0,test,deterministic_raw,normalised_entropy,5,28060,605,0.021560940841054883,0.5908640284402275,0.04291031835181852
0,test,deterministic_raw,normalised_entropy,10,28060,1155,0.041161796151104775,0.5956839641805262,0.07604087655866026
0,test,deterministic_raw,normalised_entropy,20,28060,2236,0.0796863863150392,0.5875594605730715,0.1244116731952907
0,test,mc_dropout_t30,mc_entropy,5,28060,605,0.021560940841054883,0.5832132520382716,0.04175490364516315
0,test,mc_dropout_t30,mc_entropy,10,28060,1155,0.041161796151104775,0.5899023097945231,0.073323571755286
0,test,mc_dropout_t30,mc_entropy,20,28060,2236,0.0796863863150392,0.5834382041611526,0.12131906285824567
0,test,mc_dropout_t30,mc_mutual_info,5,28060,605,0.021560940841054883,0.5736965221828055,0.02706882063264917
0,test,mc_dropout_t30,mc_mutual_info,10,28060,1155,0.041161796151104775,0.5806135263485198,0.05244269502256531
0,test,mc_dropout_t30,mc_mutual_info,20,28060,2236,0.0796863863150392,0.5754144991110874,0.09954432334182892
0,val,deterministic_raw,one_minus_confidence,5,14972,242,0.01616350520972482,0.6299877127131339,0.02381730343063438
0,val,deterministic_raw,one_minus_confidence,10,14972,462,0.030857600854929203,0.6261377434878469,0.043113458472192515
0,val,deterministic_raw,one_minus_confidence,20,14972,902,0.06024579214533796,0.621256798049663,0.0822304336746374
0,val,deterministic_raw,normalised_entropy,5,14972,242,0.01616350520972482,0.639850364410631,0.02716468420220944
0,val,deterministic_raw,normalised_entropy,10,14972,462,0.030857600854929203,0.6360184497331293,0.0474222190968875
0,val,deterministic_raw,normalised_entropy,20,14972,902,0.06024579214533796,0.6286608610416401,0.08569082807415326
0,val,mc_dropout_t30,mc_entropy,5,14972,242,0.01616350520972482,0.6478873160413616,0.029036595352833025
0,val,mc_dropout_t30,mc_entropy,10,14972,462,0.030857600854929203,0.6430515154498615,0.05026397508743971
0,val,mc_dropout_t30,mc_entropy,20,14972,902,0.06024579214533796,0.6352723238416722,0.0891979903959686
0,val,mc_dropout_t30,mc_mutual_info,5,14972,242,0.01616350520972482,0.6265371732507448,0.02225075529005418
0,val,mc_dropout_t30,mc_mutual_info,10,14972,462,0.030857600854929203,0.6261513182429792,0.041880583187813236
0,val,mc_dropout_t30,mc_mutual_info,20,14972,902,0.06024579214533796,0.6212853612835411,0.07900292032791638
1,test,deterministic_raw,one_minus_confidence,5,28060,605,0.021560940841054883,0.5690476527330222,0.026345093773026344
1,test,deterministic_raw,one_minus_confidence,10,28060,1155,0.041161796151104775,0.5622332867528927,0.04997844935822923
1,test,deterministic_raw,one_minus_confidence,20,28060,2236,0.0796863863150392,0.544973323272107,0.09094547999503336
1,test,deterministic_raw,normalised_entropy,5,28060,605,0.021560940841054883,0.5756179232432936,0.027363362218002535
1,test,deterministic_raw,normalised_entropy,10,28060,1155,0.041161796151104775,0.565683457346717,0.05075729951162672
1,test,deterministic_raw,normalised_entropy,20,28060,2236,0.0796863863150392,0.5509815964902364,0.09238253652280007
1,test,mc_dropout_t30,mc_entropy,5,28060,605,0.021560940841054883,0.5775100954078123,0.027909292125977835
1,test,mc_dropout_t30,mc_entropy,10,28060,1155,0.041161796151104775,0.5678547494752662,0.0517818400033749
1,test,mc_dropout_t30,mc_entropy,20,28060,2236,0.0796863863150392,0.5534815764010347,0.09361642798419048
1,test,mc_dropout_t30,mc_mutual_info,5,28060,605,0.021560940841054883,0.590164551760883,0.03184626686016337
1,test,mc_dropout_t30,mc_mutual_info,10,28060,1155,0.041161796151104775,0.5808016019166363,0.059065741006524224
1,test,mc_dropout_t30,mc_mutual_info,20,28060,2236,0.0796863863150392,0.5622705501448639,0.10045098148053624
1,val,deterministic_raw,one_minus_confidence,5,14972,242,0.01616350520972482,0.6274843884129202,0.02667089904769769
1,val,deterministic_raw,one_minus_confidence,10,14972,462,0.030857600854929203,0.618003183354665,0.044841653668583274
1,val,deterministic_raw,one_minus_confidence,20,14972,902,0.06024579214533796,0.6257688434608712,0.0840374536015364
1,val,deterministic_raw,normalised_entropy,5,14972,242,0.01616350520972482,0.6322403819719132,0.02468794216802101
1,val,deterministic_raw,normalised_entropy,10,14972,462,0.030857600854929203,0.6262179240470074,0.04500555556854369
1,val,deterministic_raw,normalised_entropy,20,14972,902,0.06024579214533796,0.6343447475955667,0.08755732583496853
1,val,mc_dropout_t30,mc_entropy,5,14972,242,0.01616350520972482,0.6327846133993144,0.02341078986539793
1,val,mc_dropout_t30,mc_entropy,10,14972,462,0.030857600854929203,0.6269276898153534,0.0433016949176135
1,val,mc_dropout_t30,mc_entropy,20,14972,902,0.06024579214533796,0.632982537423746,0.08545872993969642
1,val,mc_dropout_t30,mc_mutual_info,5,14972,242,0.01616350520972482,0.6366549684962942,0.022340993741044184
1,val,mc_dropout_t30,mc_mutual_info,10,14972,462,0.030857600854929203,0.6312422989369924,0.04182703351357271
1,val,mc_dropout_t30,mc_mutual_info,20,14972,902,0.06024579214533796,0.6444483316707562,0.08618110221060885
2,test,deterministic_raw,one_minus_confidence,5,28060,605,0.021560940841054883,0.5995968158263485,0.027665218134863136
2,test,deterministic_raw,one_minus_confidence,10,28060,1155,0.041161796151104775,0.6043803152184494,0.05525046883187572
2,test,deterministic_raw,one_minus_confidence,20,28060,2236,0.0796863863150392,0.5966401780152645,0.10696763495150269
2,test,deterministic_raw,normalised_entropy,5,28060,605,0.021560940841054883,0.6077350314790092,0.02832283856938135
2,test,deterministic_raw,normalised_entropy,10,28060,1155,0.041161796151104775,0.609011279867998,0.05519660326250393
2,test,deterministic_raw,normalised_entropy,20,28060,2236,0.0796863863150392,0.5977124737870555,0.10312720133168532
2,test,mc_dropout_t30,mc_entropy,5,28060,605,0.021560940841054883,0.6098197952773208,0.028484625735750314
2,test,mc_dropout_t30,mc_entropy,10,28060,1155,0.041161796151104775,0.6105387160692866,0.05524080039664438
2,test,mc_dropout_t30,mc_entropy,20,28060,2236,0.0796863863150392,0.5989236188466083,0.1031662863523516
