training_seed,split,prediction_source,score,n_frames,n_errors,error_rate,auroc,aupr,exact_aurc,oracle_aurc,excess_aurc
0,test,deterministic_raw,one_minus_confidence,28060,9754,0.34761225944404844,0.7452828211610782,0.5648253020283682,0.1782644160742567,0.06897308095481394,0.10929133511944275
0,test,deterministic_raw,normalised_entropy,28060,9754,0.34761225944404844,0.757006182528304,0.5909709967129004,0.17372192138359752,0.06897308095481394,0.10474884042878357
0,test,mc_dropout_t30,mc_entropy,28060,9640,0.3435495367070563,0.7666045245561157,0.6003715609173087,0.1668226955320571,0.06725037792335178,0.09957231760870533
0,test,mc_dropout_t30,mc_mutual_info,28060,9640,0.3435495367070563,0.7595216755420998,0.5772437619878696,0.17030580938893303,0.06725037792335178,0.10305543146558124
0,val,deterministic_raw,one_minus_confidence,14972,4054,0.27077210793481166,0.7532382379008138,0.5310958430984926,0.14366526171219596,0.04051359777446872,0.10315166393772723
0,val,deterministic_raw,normalised_entropy,14972,4054,0.27077210793481166,0.7603566814120384,0.5435120312271564,0.14028902582122685,0.04051359777446872,0.09977542804675812
0,val,mc_dropout_t30,mc_entropy,14972,4039,0.26977023777718406,0.7617159793449884,0.5500791163107837,0.14026876208795813,0.040197892701673794,0.10007086938628434
0,val,mc_dropout_t30,mc_mutual_info,14972,4039,0.26977023777718406,0.7517394260800332,0.4803153327764842,0.1398817097000924,0.040197892701673794,0.0996838169984186
1,test,deterministic_raw,one_minus_confidence,28060,10223,0.3643264433357092,0.5743117442187397,0.4402098116500738,0.3116351331095961,0.07632823858645386,0.23530689452314224
1,test,deterministic_raw,normalised_entropy,28060,10223,0.3643264433357092,0.5811860225169558,0.44218487039085397,0.3045039427048373,0.07632823858645386,0.22817570411838345
1,test,mc_dropout_t30,mc_entropy,28060,10147,0.36161796151104775,0.589863346989397,0.44069589688566724,0.29346598543141644,0.07510682011171153,0.2183591653197049
1,test,mc_dropout_t30,mc_mutual_info,28060,10147,0.36161796151104775,0.6488458959937718,0.5329347601332914,0.2635744816519933,0.07510682011171153,0.18846766154028177
1,val,deterministic_raw,one_minus_confidence,14972,3859,0.2577477958856532,0.6794352099298341,0.41540443828219875,0.17651467412341923,0.03651611248833681,0.13999856163508242
1,val,deterministic_raw,normalised_entropy,14972,3859,0.2577477958856532,0.6877926295416538,0.4211208013310032,0.1705256434384437,0.03651611248833681,0.1340095309501069
1,val,mc_dropout_t30,mc_entropy,14972,3893,0.2600187015762757,0.7082890694616045,0.44499755237676397,0.16419122165871408,0.03719654598803394,0.12699467567068015
1,val,mc_dropout_t30,mc_mutual_info,14972,3893,0.2600187015762757,0.738846738948152,0.5365054871607438,0.1540518100533106,0.03719654598803394,0.11685526406527666
2,test,deterministic_raw,one_minus_confidence,28060,8944,0.3187455452601568,0.7441231420279016,0.5345636336221887,0.16392532454059935,0.05727255294111383,0.10665277159948552
2,test,deterministic_raw,normalised_entropy,28060,8944,0.3187455452601568,0.7538918720411789,0.5572311959945772,0.1596283310870046,0.05727255294111383,0.10235577814589078
2,test,mc_dropout_t30,mc_entropy,28060,8962,0.3193870277975766,0.7582048495843646,0.5609990976419836,0.15741907888696946,0.05751907992129818,0.09989999896567128
2,test,mc_dropout_t30,mc_mutual_info,28060,8962,0.3193870277975766,0.76320610644742,0.5590679006994483,0.15320271533631694,0.05751907992129818,0.09568363541501876
2,val,deterministic_raw,one_minus_confidence,14972,4458,0.2977558108469142,0.7343288698023435,0.5276692723111358,0.16775628287123345,0.04954063026912783,0.11821565260210562
2,val,deterministic_raw,normalised_entropy,14972,4458,0.2977558108469142,0.7472721111964795,0.5516821274519348,0.16247163555881153,0.04954063026912783,0.1129310052896837
2,val,mc_dropout_t30,mc_entropy,14972,4528,0.3024312049158429,0.7465318988839011,0.560159284351579,0.16547227214336635,0.05120901560552166,0.11426325653784469
2,val,mc_dropout_t30,mc_mutual_info,14972,4528,0.3024312049158429,0.7756090492047102,0.6082287617113047,0.15059594412546143,0.05120901560552166,0.09938692851993977
