training_seed,split,prediction_source,n_frames,n_errors,error_rate,accuracy,macro_f1
0,test,deterministic_raw,28060,9754,0.34761225944404844,0.6523877405559515,0.563833631325485
0,test,mc_dropout_t30,28060,9640,0.3435495367070563,0.6564504632929437,0.5681939987525942
0,val,deterministic_raw,14972,4054,0.27077210793481166,0.7292278920651883,0.6282723507649033
0,val,mc_dropout_t30,14972,4039,0.26977023777718406,0.7302297622228159,0.6286110443829502
1,test,deterministic_raw,28060,10223,0.3643264433357092,0.6356735566642908,0.5285444627783104
1,test,mc_dropout_t30,28060,10147,0.36161796151104775,0.6383820384889523,0.5318383161287362
1,val,deterministic_raw,14972,3859,0.2577477958856532,0.7422522041143468,0.6528704605848746
1,val,mc_dropout_t30,14972,3893,0.2600187015762757,0.7399812984237243,0.6484820763921875
2,test,deterministic_raw,28060,8944,0.3187455452601568,0.6812544547398431,0.5934225284380081
2,test,mc_dropout_t30,28060,8962,0.3193870277975766,0.6806129722024233,0.5922585519892042
2,val,deterministic_raw,14972,4458,0.2977558108469142,0.7022441891530857,0.561064110656276
2,val,mc_dropout_t30,14972,4528,0.3024312049158429,0.6975687950841571,0.5498814323956722
