training_seed,comparison,delta_n_frames,delta_accuracy,delta_macro_f1,delta_weighted_f1,delta_predicted_boundary_count,delta_ground_truth_boundary_count,delta_mean_video_edit_score,delta_mean_video_tfi,delta_boundary_precision_tol5,delta_boundary_recall_tol5,delta_boundary_f1_tol5,delta_matched_signed_delay_tol5,delta_matched_abs_error_tol5,delta_tp_tol5,delta_fp_tol5,delta_fn_tol5,delta_boundary_precision_tol10,delta_boundary_recall_tol10,delta_boundary_f1_tol10,delta_matched_signed_delay_tol10,delta_matched_abs_error_tol10,delta_tp_tol10,delta_fp_tol10,delta_fn_tol10
0,egtp_selected_minus_baseline_raw,0.0,-0.003528153955808966,-0.002145010482258014,-0.00533365762551774,-622.0,0.0,21.8184808863326,-6.165930522763728,0.024273614828371506,-0.14545454545454545,0.030500572873454236,0.375,1.25,-8.0,-614.0,8.0,0.040689954108557,-0.21818181818181817,0.05189443325036544,-0.04615384615384621,1.086153846153846,-12.0,-610.0,12.0
1,egtp_selected_minus_baseline_raw,0.0,0.006699928724162474,-0.003793578832511635,0.005222690462577173,-856.0,0.0,21.42896158222431,-8.149088627895038,0.008223913467703715,-0.3090909090909091,0.006919525308316896,3.4583333333333335,0.9583333333333335,-17.0,-839.0,17.0,0.034847090964846256,-0.2545454545454545,0.04886532031891052,0.2857142857142857,2.714285714285714,-14.0,-842.0,14.0
2,egtp_selected_minus_baseline_raw,0.0,0.0006771204561654143,-0.01052061795642567,-0.0015391148883080463,-684.0,0.0,21.87761058818076,-6.678595947155471,0.02339723768295197,-0.12727272727272726,0.0312240309456216,1.3583333333333334,-0.7250000000000001,-7.0,-677.0,7.0,0.022160379303236444,-0.2727272727272727,0.025689590442966155,1.7399999999999998,-1.5,-15.0,-669.0,15.0
0,egtp_selected_minus_persistence_5,0.0,-0.0012473271560941024,-0.002187118332276361,-0.0028759729744735063,-71.0,0.0,5.98884365521063,-0.6663344332840386,0.004516355345084627,-0.036363636363636376,0.0026500303649312634,0.19999999999999996,-0.3500000000000001,-2.0,-69.0,2.0,0.004362886959572043,-0.07272727272727272,-0.0005796941423287238,-0.6108597285067874,-0.6832579185520364,-4.0,-67.0,4.0
1,egtp_selected_minus_persistence_5,0.0,0.003456878118317852,-0.005513596524225228,0.0013349195119671808,-54.0,0.0,5.6670494766502415,-0.4777003809338276,-0.008293460925039874,-0.07272727272727275,-0.015754833401892217,2.2727272727272725,0.4545454545454546,-4.0,-50.0,4.0,-0.006060606060606058,-0.09090909090909094,-0.013862607980255043,0.368421052631579,0.8345864661654137,-5.0,-49.0,5.0
2,egtp_selected_minus_persistence_5,0.0,0.0006771204561654143,-0.013872232935688955,-0.001470190071918731,-66.0,0.0,6.304766221990246,-0.5858280862502168,0.006313131313131319,-0.018181818181818188,0.0068147744309663486,0.8472222222222222,-0.3472222222222223,-1.0,-65.0,1.0,-0.006313131313131312,-0.09090909090909088,-0.014992503748125927,3.5,-1.1000000000000005,-5.0,-61.0,5.0
0,egtp_paper_k0p8_minus_baseline_raw,0.0,-0.003064861012116893,-0.010488086052966361,-0.00489976767150424,-657.0,0.0,29.18621016427859,-6.497885534958332,0.0006226650062266491,-0.23636363636363636,-0.00744529102738057,-0.9583333333333333,-0.33333333333333326,-13.0,-644.0,13.0,0.03051058530510585,-0.2909090909090909,0.03127718053091187,0.6888888888888889,1.4622222222222225,-16.0,-641.0,16.0
1,egtp_paper_k0p8_minus_baseline_raw,0.0,0.007198859586600159,-0.003843095393440743,0.005152839634486428,-903.0,0.0,28.258120017023373,-8.624538175687785,0.01596436142554298,-0.3090909090909091,0.01654588221500853,3.744047619047619,1.244047619047619,-17.0,-886.0,17.0,0.03945842166313347,-0.2909090909090909,0.05138163245865362,-0.7976190476190477,2.0595238095238098,-16.0,-887.0,16.0
2,egtp_paper_k0p8_minus_baseline_raw,0.0,-0.0033856022808267383,-0.016822505899795392,-0.005426964906270593,-744.0,0.0,32.06208533051755,-7.2695787098352955,0.011978704525288375,-0.19999999999999998,0.009433701428326537,2.4833333333333334,-0.8500000000000001,-11.0,-733.0,11.0,0.015133589667751156,-0.34545454545454546,0.008814372846865468,2.94,-1.2999999999999998,-19.0,-725.0,19.0
0,tec_raw_minus_baseline_raw,0.0,-0.04112615823235921,-0.034431044121987386,-0.031346580841411176,75.0,0.0,0.2933076789416891,1.7441617719999547,0.005131667408947653,0.10909090909090913,0.009863662596781578,-0.03409090909090906,0.22727272727272707,6.0,69.0,-6.0,-0.002659446211104713,0.0,-0.004684490215036835,0.24,-0.8799999999999999,0.0,75.0,0.0
