comparison,metric,observed_delta,bootstrap_mean_delta,ci95_low,ci95_high,fraction_delta_above_zero,n_video_clusters,n_training_seeds,n_resamples,random_seed,interpretation
egtp_selected_minus_baseline_raw,macro_f1,-0.004560892589532184,-0.004568357900996311,-0.014653975689024823,0.0056833222298799885,0.1834,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,predicted_boundary_count,-102.95238095238095,-102.90329047619048,-124.66666666666667,-81.33333333333333,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,mean_video_tfi,-6.997871699271412,-6.990130337050801,-8.859033655749384,-5.061688816459477,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,boundary_f1_tol5,0.022881376375797575,0.02295947250656696,0.006249244624903015,0.044037958656097394,1.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,boundary_recall_tol5,-0.19393939393939394,-0.19352351999130202,-0.2896174863387978,-0.08974358974358973,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,boundary_f1_tol10,0.04214978133741404,0.041726058272579046,0.01766918127724216,0.06837931308439613,1.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_baseline_raw,boundary_recall_tol10,-0.2484848484848485,-0.2480490154044393,-0.3448275862068966,-0.12280701754385964,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,macro_f1,-0.006044656666059134,-0.006065885897919918,-0.018740468203965466,0.005490278045037045,0.1662,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,predicted_boundary_count,-9.095238095238098,-9.103604761904762,-14.666666666666668,-4.4285714285714235,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,mean_video_tfi,-0.5766209668226943,-0.5766045256246787,-0.9588663658442449,-0.2730074562107425,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,boundary_f1_tol5,-0.0020966762019982016,-0.0020371716981711406,-0.016907953180482847,0.011717008215854072,0.4017,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,boundary_recall_tol5,-0.04242424242424242,-0.04276923590607539,-0.09027777777777779,0.0,0.0146,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,boundary_f1_tol10,-0.009811601956903226,-0.010133500673943226,-0.0348369224696341,0.011486120402439527,0.2169,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_selected_minus_persistence_5,boundary_recall_tol10,-0.08484848484848487,-0.08486876731058351,-0.1488095238095238,-0.024242424242424232,0.001,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,macro_f1,-0.011910123323574773,-0.011977022152319574,-0.030788726552177795,0.005975890166565055,0.0956,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,predicted_boundary_count,-109.71428571428572,-109.66307619047619,-132.04761904761904,-87.61904761904762,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,mean_video_tfi,-7.464000806827137,-7.455831998372872,-9.398419508776318,-5.446234844195163,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,boundary_f1_tol5,0.006178097538651499,0.0060948068725801075,-0.01320654334319514,0.026708541681767735,0.7061,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,boundary_recall_tol5,-0.24848484848484848,-0.24812238711638246,-0.36206896551724144,-0.1418439716312057,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,boundary_f1_tol10,0.030491061945476974,0.030093574332899182,0.004253995259323871,0.058702395636238816,0.9952,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
egtp_paper_k0p8_minus_baseline_raw,boundary_recall_tol10,-0.3090909090909091,-0.3084883128708982,-0.4093567251461988,-0.18518518518518515,0.0,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,macro_f1,-0.05316971923334979,-0.05303166665791898,-0.09285302028272802,-0.011836635127102223,0.0049,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,predicted_boundary_count,-22.0,-21.964285714285715,-43.809523809523796,1.6678571428571165,0.0345,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,mean_video_tfi,-0.6014975345254054,-0.6032821661354586,-1.9050888222702973,0.8583679570126161,0.1944,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,boundary_f1_tol5,3.754721331969413e-05,0.0003910386897295033,-0.013005101331535589,0.014689356735921345,0.5276,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,boundary_recall_tol5,-0.05454545454545451,-0.05430362212637727,-0.1695906432748538,0.041685606060605805,0.1439,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,boundary_f1_tol10,-0.006095321035357239,-0.005619417120509452,-0.015538276235867924,0.0063482861360603104,0.1455,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
tec_raw_minus_baseline_raw,boundary_recall_tol10,-0.12121212121212116,-0.12073420873197474,-0.22951761824006026,-0.020000000000000018,0.006,7,3,10000,20260729,descriptive_cluster_interval_not_formal_significance
