method_id,tolerance_sec,gt_transition,pred_transition,time_matched_pair_count
baseline_raw,5,1->2,1->2,1
baseline_raw,5,1->2,3->2,2
baseline_raw,5,2->3,2->3,8
baseline_raw,5,2->3,3->2,2
baseline_raw,5,3->2,2->3,1
baseline_raw,5,3->2,3->2,5
baseline_raw,5,3->4,1->2,1
baseline_raw,5,3->4,3->2,1
baseline_raw,5,3->4,3->4,4
baseline_raw,5,3->4,4->5,1
baseline_raw,5,3->4,4->7,1
baseline_raw,5,4->5,4->5,5
baseline_raw,5,4->5,4->7,1
baseline_raw,5,4->5,5->4,1
baseline_raw,5,4->7,4->5,3
baseline_raw,5,4->7,5->4,2
baseline_raw,5,5->6,5->7,1
baseline_raw,5,5->7,5->7,3
baseline_raw,5,6->7,4->5,1
baseline_raw,5,6->7,4->7,1
baseline_raw,5,6->7,6->7,3
baseline_raw,5,6->7,7->6,2
baseline_raw,5,7->6,4->5,1
baseline_raw,5,7->6,4->6,1
baseline_raw,5,7->6,7->6,3
baseline_raw,10,1->2,1->2,3
baseline_raw,10,1->2,2->7,1
baseline_raw,10,1->2,3->2,2
baseline_raw,10,2->3,2->3,9
baseline_raw,10,2->3,3->2,2
baseline_raw,10,3->2,2->3,2
baseline_raw,10,3->2,3->2,5
baseline_raw,10,3->4,1->2,1
baseline_raw,10,3->4,2->3,3
baseline_raw,10,3->4,3->2,1
baseline_raw,10,3->4,3->4,4
baseline_raw,10,3->4,4->5,1
baseline_raw,10,3->4,4->7,1
baseline_raw,10,4->5,4->5,5
baseline_raw,10,4->5,4->7,2
baseline_raw,10,4->5,5->4,2
baseline_raw,10,4->5,7->4,2
baseline_raw,10,4->7,4->5,3
baseline_raw,10,4->7,5->4,2
baseline_raw,10,5->6,5->7,1
baseline_raw,10,5->7,5->4,1
baseline_raw,10,5->7,5->7,4
baseline_raw,10,5->7,7->4,1
baseline_raw,10,6->7,4->5,1
baseline_raw,10,6->7,4->7,2
baseline_raw,10,6->7,6->7,5
baseline_raw,10,6->7,7->6,2
baseline_raw,10,7->6,4->5,1
baseline_raw,10,7->6,4->6,1
baseline_raw,10,7->6,4->7,2
baseline_raw,10,7->6,7->6,6
egtp_selected,5,1->2,1->2,1
egtp_selected,5,1->2,3->2,1
egtp_selected,5,2->3,2->3,5
egtp_selected,5,3->2,3->2,1
egtp_selected,5,3->4,1->2,1
egtp_selected,5,3->4,3->2,1
egtp_selected,5,3->4,3->4,1
egtp_selected,5,3->4,4->2,1
egtp_selected,5,4->5,4->5,1
egtp_selected,5,4->5,4->7,1
egtp_selected,5,5->7,5->7,2
egtp_selected,5,6->7,4->5,1
egtp_selected,5,6->7,4->7,2
egtp_selected,5,6->7,6->7,1
egtp_selected,5,6->7,7->6,1
egtp_selected,5,7->6,4->7,2
egtp_selected,10,1->2,1->2,2
egtp_selected,10,1->2,2->7,1
egtp_selected,10,1->2,3->2,1
egtp_selected,10,2->3,2->3,5
egtp_selected,10,3->2,3->2,2
egtp_selected,10,3->4,1->2,1
egtp_selected,10,3->4,3->2,2
egtp_selected,10,3->4,3->4,1
egtp_selected,10,3->4,4->2,1
egtp_selected,10,3->4,7->4,1
egtp_selected,10,4->5,4->5,1
egtp_selected,10,4->5,4->7,2
egtp_selected,10,4->7,4->5,2
egtp_selected,10,5->7,4->5,1
egtp_selected,10,5->7,5->4,1
egtp_selected,10,5->7,5->7,2
egtp_selected,10,5->7,7->4,1
egtp_selected,10,6->7,4->5,1
egtp_selected,10,6->7,4->7,2
egtp_selected,10,6->7,6->7,1
egtp_selected,10,6->7,7->6,1
egtp_selected,10,7->6,4->5,1
egtp_selected,10,7->6,4->7,3
egtp_selected,10,7->6,7->6,1
persistence_5,5,1->2,1->2,1
persistence_5,5,1->2,2->7,1
persistence_5,5,2->3,2->3,2
persistence_5,5,2->3,3->2,2
persistence_5,5,3->2,2->3,1
persistence_5,5,3->2,3->2,2
persistence_5,5,3->4,2->1,1
persistence_5,5,3->4,3->4,1
persistence_5,5,3->4,4->2,1
persistence_5,5,3->4,7->4,1
persistence_5,5,4->5,4->5,3
persistence_5,5,4->5,4->7,3
persistence_5,5,4->5,5->4,1
persistence_5,5,5->6,5->7,1
persistence_5,5,5->7,5->7,2
persistence_5,5,6->7,4->5,1
persistence_5,5,6->7,4->7,2
persistence_5,5,6->7,6->7,1
persistence_5,5,6->7,7->6,2
persistence_5,5,7->6,4->5,1
persistence_5,10,1->2,1->2,3
persistence_5,10,1->2,2->7,1
persistence_5,10,1->2,3->2,1
persistence_5,10,2->3,2->3,4
persistence_5,10,2->3,3->2,2
persistence_5,10,3->2,2->3,1
persistence_5,10,3->2,3->2,3
persistence_5,10,3->4,2->1,1
persistence_5,10,3->4,3->2,1
persistence_5,10,3->4,3->4,2
persistence_5,10,3->4,4->2,1
persistence_5,10,3->4,7->4,1
persistence_5,10,4->5,4->5,3
persistence_5,10,4->5,4->7,3
persistence_5,10,4->5,5->4,3
persistence_5,10,4->7,4->5,3
persistence_5,10,5->6,5->7,1
persistence_5,10,5->7,5->4,1
persistence_5,10,5->7,5->7,2
persistence_5,10,6->7,4->5,1
persistence_5,10,6->7,4->7,2
persistence_5,10,6->7,6->7,2
persistence_5,10,6->7,7->6,2
persistence_5,10,7->6,4->5,1
persistence_5,10,7->6,4->6,1
persistence_5,10,7->6,4->7,3
persistence_5,10,7->6,7->6,2
