training_seed,video_id,method_id,tolerance_sec,gt_time_sec,pred_time_sec,signed_delay_sec,gt_from_phase,gt_to_phase,pred_from_phase,pred_to_phase,from_phase_correct,to_phase_correct,exact_transition_correct
0,15,baseline_raw,10,3402,3396,-6,6,7,4,7,False,True,False
0,15,persistence_5,5,3402,3400,-2,6,7,4,7,False,True,False
0,15,persistence_5,10,2279,2269,-10,7,6,4,7,False,False,False
0,15,persistence_5,10,3402,3400,-2,6,7,4,7,False,True,False
0,15,egtp_selected,5,2279,2283,4,7,6,4,7,False,False,False
0,15,egtp_selected,5,3402,3402,0,6,7,4,7,False,True,False
0,15,egtp_selected,10,2279,2283,4,7,6,4,7,False,False,False
0,15,egtp_selected,10,3402,3402,0,6,7,4,7,False,True,False
0,16,baseline_raw,5,2157,2152,-5,4,5,4,5,True,True,True
0,16,baseline_raw,10,2157,2152,-5,4,5,4,5,True,True,True
0,16,baseline_raw,10,2180,2174,-6,5,7,5,7,True,True,True
0,16,baseline_raw,10,2440,2446,6,7,6,7,6,True,True,True
0,16,persistence_5,5,2157,2156,-1,4,5,4,5,True,True,True
0,16,persistence_5,5,2180,2178,-2,5,7,5,7,True,True,True
0,16,persistence_5,10,2157,2156,-1,4,5,4,5,True,True,True
0,16,persistence_5,10,2180,2178,-2,5,7,5,7,True,True,True
0,16,egtp_selected,5,2157,2160,3,4,5,4,5,True,True,True
0,16,egtp_selected,5,2180,2176,-4,5,7,5,7,True,True,True
0,16,egtp_selected,10,2157,2160,3,4,5,4,5,True,True,True
0,16,egtp_selected,10,2180,2176,-4,5,7,5,7,True,True,True
0,17,baseline_raw,5,1600,1603,3,2,3,2,3,True,True,True
0,17,baseline_raw,10,1600,1603,3,2,3,2,3,True,True,True
0,17,baseline_raw,10,4220,4229,9,6,7,6,7,True,True,True
0,18,baseline_raw,5,547,548,1,2,3,3,2,False,False,False
0,18,baseline_raw,5,620,621,1,3,2,3,2,True,True,True
0,18,baseline_raw,5,1313,1312,-1,2,3,3,2,False,False,False
0,18,baseline_raw,5,1680,1684,4,3,4,3,4,True,True,True
0,18,baseline_raw,5,2100,2102,2,4,7,4,5,True,False,False
0,18,baseline_raw,10,547,548,1,2,3,3,2,False,False,False
0,18,baseline_raw,10,620,621,1,3,2,3,2,True,True,True
0,18,baseline_raw,10,1313,1312,-1,2,3,3,2,False,False,False
0,18,baseline_raw,10,1680,1684,4,3,4,3,4,True,True,True
0,18,baseline_raw,10,2100,2102,2,4,7,4,5,True,False,False
0,18,persistence_5,5,620,625,5,3,2,3,2,True,True,True
0,18,persistence_5,10,620,625,5,3,2,3,2,True,True,True
0,18,persistence_5,10,1313,1322,9,2,3,2,3,True,True,True
0,18,persistence_5,10,1680,1688,8,3,4,3,4,True,True,True
0,18,persistence_5,10,2100,2106,6,4,7,4,5,True,False,False
0,18,egtp_selected,10,2100,2106,6,4,7,4,5,True,False,False
0,19,baseline_raw,5,1500,1498,-2,2,3,2,3,True,True,True
0,19,baseline_raw,5,2080,2078,-2,4,7,5,4,False,False,False
0,19,baseline_raw,10,550,541,-9,1,2,2,7,False,False,False
0,19,baseline_raw,10,1500,1498,-2,2,3,2,3,True,True,True
0,19,baseline_raw,10,1863,1869,6,3,4,2,3,False,False,False
0,19,baseline_raw,10,2080,2078,-2,4,7,5,4,False,False,False
0,19,persistence_5,5,550,545,-5,1,2,2,7,False,False,False
0,19,persistence_5,5,1863,1859,-4,3,4,4,2,False,False,False
0,19,persistence_5,10,550,545,-5,1,2,2,7,False,False,False
0,19,persistence_5,10,1863,1859,-4,3,4,4,2,False,False,False
0,19,egtp_selected,5,1863,1858,-5,3,4,4,2,False,False,False
0,19,egtp_selected,10,550,544,-6,1,2,2,7,False,False,False
0,19,egtp_selected,10,1863,1858,-5,3,4,4,2,False,False,False
0,20,baseline_raw,5,1400,1400,0,2,3,2,3,True,True,True
0,20,baseline_raw,5,3080,3081,1,4,5,4,7,True,False,False
0,20,baseline_raw,10,120,126,6,1,2,1,2,True,True,True
0,20,baseline_raw,10,1400,1400,0,2,3,2,3,True,True,True
0,20,baseline_raw,10,1770,1776,6,3,2,2,3,False,False,False
0,20,baseline_raw,10,3080,3081,1,4,5,4,7,True,False,False
0,20,baseline_raw,10,3215,3223,8,7,6,7,6,True,True,True
0,20,persistence_5,5,1400,1404,4,2,3,2,3,True,True,True
0,20,persistence_5,5,3080,3085,5,4,5,4,7,True,False,False
0,20,persistence_5,10,120,130,10,1,2,1,2,True,True,True
0,20,persistence_5,10,1400,1404,4,2,3,2,3,True,True,True
0,20,persistence_5,10,3080,3085,5,4,5,4,7,True,False,False
0,20,egtp_selected,5,1400,1404,4,2,3,2,3,True,True,True
0,20,egtp_selected,5,3080,3083,3,4,5,4,7,True,False,False
0,20,egtp_selected,10,1400,1404,4,2,3,2,3,True,True,True
0,20,egtp_selected,10,1770,1761,-9,3,2,3,2,True,True,True
