training_seed,video_id,method_id,tolerance_sec,n_time_matched,from_phase_correct_count,to_phase_correct_count,exact_transition_correct_count,from_phase_correct_rate,to_phase_correct_rate,exact_transition_correct_rate
0,15,baseline_raw,10,1,0,1,0,0.0,1.0,0.0
0,15,egtp_selected,5,2,0,1,0,0.0,0.5,0.0
0,15,egtp_selected,10,2,0,1,0,0.0,0.5,0.0
0,15,persistence_5,5,1,0,1,0,0.0,1.0,0.0
0,15,persistence_5,10,2,0,1,0,0.0,0.5,0.0
0,16,baseline_raw,5,1,1,1,1,1.0,1.0,1.0
0,16,baseline_raw,10,3,3,3,3,1.0,1.0,1.0
0,16,egtp_selected,5,2,2,2,2,1.0,1.0,1.0
0,16,egtp_selected,10,2,2,2,2,1.0,1.0,1.0
0,16,persistence_5,5,2,2,2,2,1.0,1.0,1.0
0,16,persistence_5,10,2,2,2,2,1.0,1.0,1.0
0,17,baseline_raw,5,1,1,1,1,1.0,1.0,1.0
0,17,baseline_raw,10,2,2,2,2,1.0,1.0,1.0
0,18,baseline_raw,5,5,3,2,2,0.6,0.4,0.4
0,18,baseline_raw,10,5,3,2,2,0.6,0.4,0.4
0,18,egtp_selected,10,1,1,0,0,1.0,0.0,0.0
0,18,persistence_5,5,1,1,1,1,1.0,1.0,1.0
0,18,persistence_5,10,4,4,3,3,1.0,0.75,0.75
0,19,baseline_raw,5,2,1,1,1,0.5,0.5,0.5
0,19,baseline_raw,10,4,1,1,1,0.25,0.25,0.25
0,19,egtp_selected,5,1,0,0,0,0.0,0.0,0.0
0,19,egtp_selected,10,2,0,0,0,0.0,0.0,0.0
0,19,persistence_5,5,2,0,0,0,0.0,0.0,0.0
0,19,persistence_5,10,2,0,0,0,0.0,0.0,0.0
0,20,baseline_raw,5,2,2,1,1,1.0,0.5,0.5
0,20,baseline_raw,10,5,4,3,3,0.8,0.6,0.6
0,20,egtp_selected,5,2,2,1,1,1.0,0.5,0.5
0,20,egtp_selected,10,3,3,2,2,1.0,0.6666666666666666,0.6666666666666666
0,20,persistence_5,5,2,2,1,1,1.0,0.5,0.5
0,20,persistence_5,10,3,3,2,2,1.0,0.6666666666666666,0.6666666666666666
0,21,baseline_raw,5,5,2,3,2,0.4,0.6,0.4
0,21,baseline_raw,10,5,2,3,2,0.4,0.6,0.4
0,21,egtp_selected,5,1,0,0,0,0.0,0.0,0.0
0,21,egtp_selected,10,3,1,1,0,0.3333333333333333,0.3333333333333333,0.0
0,21,persistence_5,5,2,0,1,0,0.0,0.5,0.0
0,21,persistence_5,10,4,1,1,0,0.25,0.25,0.0
1,15,baseline_raw,5,2,0,0,0,0.0,0.0,0.0
1,15,baseline_raw,10,2,0,0,0,0.0,0.0,0.0
1,15,egtp_selected,5,1,0,0,0,0.0,0.0,0.0
1,15,egtp_selected,10,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,15,persistence_5,5,2,0,0,0,0.0,0.0,0.0
1,15,persistence_5,10,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,16,baseline_raw,5,4,4,4,4,1.0,1.0,1.0
1,16,baseline_raw,10,5,4,4,4,0.8,0.8,0.8
1,16,egtp_selected,10,1,0,0,0,0.0,0.0,0.0
1,16,persistence_5,5,1,1,1,1,1.0,1.0,1.0
1,16,persistence_5,10,1,1,1,1,1.0,1.0,1.0
1,17,baseline_raw,5,2,2,1,1,1.0,0.5,0.5
1,17,baseline_raw,10,3,2,1,1,0.6666666666666666,0.3333333333333333,0.3333333333333333
1,17,egtp_selected,5,1,1,1,1,1.0,1.0,1.0
1,17,egtp_selected,10,2,2,1,1,1.0,0.5,0.5
1,17,persistence_5,5,3,3,1,1,1.0,0.3333333333333333,0.3333333333333333
1,17,persistence_5,10,3,3,1,1,1.0,0.3333333333333333,0.3333333333333333
1,18,baseline_raw,5,6,5,5,4,0.8333333333333334,0.8333333333333334,0.6666666666666666
1,18,baseline_raw,10,6,5,5,4,0.8333333333333334,0.8333333333333334,0.6666666666666666
1,18,egtp_selected,5,2,2,2,2,1.0,1.0,1.0
1,18,egtp_selected,10,3,3,2,2,1.0,0.6666666666666666,0.6666666666666666
1,18,persistence_5,5,2,2,2,2,1.0,1.0,1.0
1,18,persistence_5,10,5,4,4,3,0.8,0.8,0.6
1,19,baseline_raw,5,2,2,2,2,1.0,1.0,1.0
1,19,baseline_raw,10,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,19,egtp_selected,5,2,2,2,2,1.0,1.0,1.0
1,19,egtp_selected,10,3,3,2,2,1.0,0.6666666666666666,0.6666666666666666
1,19,persistence_5,5,2,1,1,1,0.5,0.5,0.5
1,19,persistence_5,10,3,2,1,1,0.6666666666666666,0.3333333333333333,0.3333333333333333
1,20,baseline_raw,5,5,5,5,5,1.0,1.0,1.0
1,20,baseline_raw,10,5,5,5,5,1.0,1.0,1.0
1,20,egtp_selected,10,1,1,1,1,1.0,1.0,1.0
1,20,persistence_5,10,2,2,2,2,1.0,1.0,1.0
1,21,baseline_raw,5,3,0,1,0,0.0,0.3333333333333333,0.0
1,21,baseline_raw,10,4,1,1,0,0.25,0.25,0.0
1,21,egtp_selected,5,1,0,1,0,0.0,1.0,0.0
1,21,egtp_selected,10,1,0,1,0,0.0,1.0,0.0
1,21,persistence_5,5,1,0,0,0,0.0,0.0,0.0
