training_seed,method_id,tolerance_sec,n_time_matched,from_phase_correct_count,to_phase_correct_count,exact_transition_correct_count,from_phase_correct_rate,to_phase_correct_rate,exact_transition_correct_rate
0,baseline_raw,5,16,10,9,8,0.625,0.5625,0.5
0,baseline_raw,10,25,15,15,13,0.6,0.6,0.52
0,egtp_selected,5,8,4,4,3,0.5,0.5,0.375
0,egtp_selected,10,13,7,6,4,0.5384615384615384,0.46153846153846156,0.3076923076923077
0,persistence_5,5,10,5,6,4,0.5,0.6,0.4
0,persistence_5,10,17,10,9,7,0.5882352941176471,0.5294117647058824,0.4117647058823529
1,baseline_raw,5,24,18,18,16,0.75,0.75,0.6666666666666666
1,baseline_raw,10,28,19,18,16,0.6785714285714286,0.6428571428571429,0.5714285714285714
1,egtp_selected,5,7,5,6,5,0.7142857142857143,0.8571428571428571,0.7142857142857143
1,egtp_selected,10,14,10,8,7,0.7142857142857143,0.5714285714285714,0.5
1,persistence_5,5,11,7,5,5,0.6363636363636364,0.45454545454545453,0.45454545454545453
1,persistence_5,10,19,13,11,9,0.6842105263157895,0.5789473684210527,0.47368421052631576
2,baseline_raw,5,15,10,9,8,0.6666666666666666,0.6,0.5333333333333333
2,baseline_raw,10,25,15,13,12,0.6,0.52,0.48
2,egtp_selected,5,8,5,5,4,0.625,0.625,0.5
2,egtp_selected,10,10,5,5,4,0.5,0.5,0.4
2,persistence_5,5,9,4,4,3,0.4444444444444444,0.4444444444444444,0.3333333333333333
2,persistence_5,10,15,7,6,5,0.4666666666666667,0.4,0.3333333333333333
